"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2025","17,844.24","17,817.01","17,965.64","17,792.08","1.14B","-0.74%"
"05/02/2025","17,977.73","17,868.76","18,048.83","17,812.04","1.30B","1.51%"
"05/01/2025","17,710.74","17,793.14","17,922.83","17,688.11","1.27B","1.52%"
"04/30/2025","17,446.34","17,099.98","17,483.82","16,959.53","1.48B","-0.09%"
"04/29/2025","17,461.32","17,270.76","17,500.41","17,256.20","1.33B","0.55%"
"04/28/2025","17,366.13","17,390.93","17,467.35","17,128.71","1.27B","-0.10%"
"04/25/2025","17,382.94","17,182.11","17,404.49","17,110.72","1.17B","1.26%"
"04/24/2025","17,166.04","16,754.76","17,174.35","16,744.97","1.30B","2.74%"
"04/23/2025","16,708.05","16,880.29","17,029.86","16,642.66","1.41B","2.50%"
"04/22/2025","16,300.42","16,079.94","16,410.56","16,038.73","1.20B","2.71%"
"04/21/2025","15,870.90","16,052.76","16,066.79","15,685.33","1.14B","-2.55%"
"04/17/2025","16,286.45","16,399.97","16,408.51","16,181.17","1.25B","-0.13%"
"04/16/2025","16,307.16","16,499.69","16,600.37","16,066.46","1.34B","-3.07%"
"04/15/2025","16,823.17","16,842.39","16,979.96","16,753.21","1.16B","-0.05%"
"04/14/2025","16,831.48","17,120.44","17,136.55","16,661.26","1.36B","0.64%"
"04/11/2025","16,724.46","16,358.53","16,753.41","16,228.04","1.53B","2.06%"
"04/10/2025","16,387.31","16,635.45","16,712.37","15,894.26","1.88B","-4.31%"
"04/09/2025","17,124.97","15,295.44","17,202.94","15,270.28","2.71B","12.16%"
"04/08/2025","15,267.91","16,181.04","16,316.50","15,053.39","1.92B","-2.15%"
"04/07/2025","15,603.26","14,978.03","16,292.28","14,784.03","2.41B","0.10%"
"04/04/2025","15,587.79","16,045.60","16,128.16","15,575.68","2.15B","-5.82%"
"04/03/2025","16,550.61","16,790.53","16,889.34","16,533.04","1.72B","-5.97%"
"04/02/2025","17,601.05","17,207.01","17,716.52","17,181.27","8.41B","0.87%"
"04/01/2025","17,449.89","17,221.55","17,506.59","17,149.36","1.30B","0.87%"
"03/31/2025","17,299.29","17,045.44","17,334.98","16,854.37","1.62B","-0.14%"
"03/28/2025","17,322.99","17,722.09","17,763.28","17,283.06","1.28B","-2.70%"
"03/27/2025","17,804.03","17,811.24","17,988.02","17,743.80","1.19B","-0.53%"
"03/26/2025","17,899.02","18,217.33","18,236.55","17,837.26","1.26B","-2.04%"
"03/25/2025","18,271.86","18,207.97","18,281.13","18,170.42","1.20B","0.46%"
"03/24/2025","18,188.59","18,046.19","18,210.05","18,030.68","1.34B","2.27%"
"03/21/2025","17,784.05","17,519.84","17,798.06","17,474.81","3.33B","0.52%"
"03/20/2025","17,691.63","17,586.06","17,903.20","17,576.82","1.19B","-0.33%"
"03/19/2025","17,750.79","17,590.12","17,917.54","17,533.94","1.27B","1.41%"
"03/18/2025","17,504.12","17,662.57","17,682.92","17,431.67","1.19B","-1.71%"
"03/17/2025","17,808.66","17,722.54","17,925.94","17,645.87","1.22B","0.31%"
"03/14/2025","17,754.09","17,523.30","17,773.48","17,491.08","1.26B","2.61%"
"03/13/2025","17,303.01","17,598.56","17,621.91","17,239.44","1.26B","-1.96%"
"03/12/2025","17,648.45","17,711.41","17,800.10","17,436.27","1.41B","1.22%"
"03/11/2025","17,436.10","17,443.09","17,687.40","17,238.24","1.56B","-0.18%"
"03/10/2025","17,468.32","17,840.32","17,868.07","17,291.82","1.65B","-4.00%"
"03/07/2025","18,196.22","18,029.85","18,243.58","17,768.59","1.44B","0.70%"
"03/06/2025","18,069.26","18,204.53","18,439.24","17,980.39","1.45B","-2.61%"
"03/05/2025","18,552.73","18,312.96","18,604.47","18,144.73","1.38B","1.46%"
"03/04/2025","18,285.16","18,176.43","18,589.49","17,956.60","1.65B","-0.35%"
"03/03/2025","18,350.19","18,923.36","18,992.30","18,216.63","1.56B","-2.64%"
